""	"C-045"	"C-053"	"C-075"	"C-081"	"C-085"	"C-086"	"C-092"	"C-094"	"C-095"	"C-096"	"C-097"	"C-098"	"C-111"	"C-113"	"C-115"	"C-123"	"C-128"	"C-129"	"C-151"	"C-167"	"C-175"	"C-194"	"C-197"	"C-214"	"C-218"	"C-003"	"C-004"	"C-005"	"C-006"	"C-007"	"C-018"	"C-024"	"C-026"	"C-031"	"C-058"	"C-059"	"C-062"	"C-071"	"C-074"	"C-104"	"C-116"	"C-117"	"C-120"	"C-132"	"C-133"	"C-134"	"C-164"	"C-187"	"C-189"	"C-200"
"[0.50 .. 0.52]"	0.60936	0.055004	0.51936	0	0	0.014783	0.34168	0.12287	0.20509	0.19817	0	0.0090348	0	0	0	0.0041492	0.02742	0.027136	0.057555	0.0046523	0.10306	0	0.38246	0.0097387	0.019711	0.080052	0.012023	0	0	0.0064422	0.0021672	0.15009	0	0	0.28763	0.11461	0.011889	0.62776	0	0.010433	0.16907	0	0.1326	0.011282	0.0077952	0	0	0	0.0034477	0
"[0.52 .. 0.56]"	1.0671	0.11127	0.81095	0.0083532	0.0016961	0	0.56782	0.17563	0.47542	0.32306	0.0029106	0	0	0.00010948	0.024073	0.010599	0.062634	0	0.1086	0.0080073	0.18685	0	0.68587	0	0.07977	0.22207	0	0	0	0.02119	0.015278	0.26176	0.023677	0.015234	0.50103	0.2361	0	1.0598	0	0	0.37343	0.011365	0.19982	0	0	0.046177	0	0.0027964	0	0.003507
"[0.56 .. 0.58]"	0.77945	0.10555	0.62601	0	0.017466	0.0066115	0.4214	0.17047	0.32893	0.27052	0	0.0089755	0.026515	0.0093946	0.002115	0.023921	0.06132	0.0015311	0.073094	0.053077	0.18633	0.0018812	0.46052	0	0.10577	0.22621	0	0	0.0042618	0.014599	0	0.17183	0	0.0023925	0.42586	0.27616	0	0.75504	0	0.011505	0.26643	0	0.224	0.0093667	0.0072488	0.10206	0.0091241	0	0.009086	0.007554
"[0.58 .. 0.61]"	0.80009	0.08981	0.75669	0.014421	0	0	0.44239	0.14378	0.37341	0.24158	0	0.0018086	0	0	0.041414	0	0.060436	0.00045799	0.10236	0.10925	0.18766	0	0.53606	0	0.15836	0.15496	0	0	0	0	0	0.21415	0.00067104	0	0.42771	0.32671	0.012311	0.73128	0	0	0.30277	0.015021	0.17598	0	0	0.10342	0.014403	0.02226	0	0
"[0.61 .. 0.64]"	1.2371	0.21125	1.0631	0	0.011232	0.0031227	0.70709	0.26578	0.68579	0.34602	0.02792	0.011833	0.011959	0	0.11311	0.0053788	0.13319	0	0.2245	0.21639	0.30047	0.015805	0.83015	0.0052289	0.27084	0.30256	0.0045318	0	0.0045768	0.027782	0.014757	0.40969	0	0.038538	0.6936	0.50546	0	1.1415	0.0033838	0	0.46033	0	0.37702	0.012944	0	0.20368	0	0	0	0.00043939
"[0.64 .. 0.66]"	0.94879	0.16525	0.80503	0	0	0	0.57275	0.24528	0.48933	0.29808	0	0	0	0	0.078131	0.0048697	0.16288	0.0083698	0.13928	0.30446	0.25944	0	0.61875	0.00099077	0.24991	0.27105	0	0.020473	0	0.0018476	0	0.36209	0.00063182	0	0.52245	0.38858	0.017627	0.86022	0	0.018757	0.42571	0.00014683	0.31165	0	0	0.14742	0	0	0.025185	0.008351
"[0.66 .. 0.69]"	1.0479	0.22933	0.8787	0.010017	0	0.0015408	0.61675	0.24934	0.52969	0.34267	0.068648	0	0	0.016388	0.093131	0.002658	0.19457	0	0.21742	0.39961	0.3181	0.001914	0.67984	0	0.30596	0.29503	0.035991	0.0434	0.021316	0.024915	0.010406	0.38944	0.0096689	0.019049	0.62141	0.45177	0	0.97619	0.012386	0	0.49229	0	0.34188	0.0050557	0	0.22452	0	0.028363	0.054317	0
"[0.69 .. 0.71]"	1.2145	0.20055	1.0617	0	0	0.00082736	0.7333	0.29021	0.63586	0.38745	0.14984	0.0015705	0	0	0.11387	0.021846	0.2613	0.0055466	0.23528	0.49705	0.3322	0	0.7818	0.14267	0.41905	0.3037	0.024114	0.077524	0	0	0	0.45007	0	0.027142	0.76969	0.62508	0	1.1049	0	0.00731	0.60187	0.0042269	0.43778	0	0.037316	0.28293	0.012109	0	0.13065	0.018068
"[0.71 .. 0.73]"	1.1953	0.20426	0.99816	0	0.0067581	0	0.69617	0.24708	0.64979	0.37855	0.24067	0.010383	0.08907	0.0037262	0.083911	0	0.14201	0	0.22743	0.50301	0.33046	0.0034788	0.74637	0	0.45862	0.31267	0.18421	0.073903	0	0	0	0.46926	0.0065707	0	0.68123	0.6285	0	1.0496	0	0	0.58681	0	0.45089	0	0	0.22233	0	0.0059858	0.15348	0
"[0.73 .. 0.75]"	1.3751	0.34402	1.2327	0	0	0	0.85355	0.39344	0.79078	0.50174	0.43764	0	0.28692	0	0.17296	0	0.23969	0	0.30137	0.70579	0.45396	0.023825	0.89477	0	0.60864	0.38108	0.39357	0.066929	0	0	0	0.59288	0	0	0.83458	0.83561	0	1.2715	0	0	0.65528	0.0039013	0.53001	0	0	0.32808	0	0	0.3164	0.0024911
"[0.75 .. 0.77]"	1.7515	0.49645	1.5396	0	0	0.10707	1.1982	0.55941	1.0399	0.71161	0.77888	0	0.63436	0	0.3588	0	0.46032	0.048108	0.49565	1.1014	0.68484	0.24229	1.1879	0	0.90451	0.5658	0.72519	0.2098	0	0	0.040428	0.84167	0	0	1.1632	1.2566	0.010623	1.5888	0.0045438	0.0045637	0.93508	0.12887	0.76572	0	0	0.59873	0	0	0.57502	0
"[0.77 .. 0.79]"	2.3327	0.834	2.1355	0.17937	0.33786	0.65666	1.7491	0.97306	1.5154	1.0715	1.2737	0.28226	1.2679	0.22566	0.67134	0.20697	0.71661	0.35586	0.82403	1.7353	0.99824	0.67426	1.7604	0.21243	1.4163	0.91858	1.3459	0.47391	0.049593	0.12693	0.50096	1.2523	0.18363	0.43827	1.575	1.8916	0.28966	2.0733	0.37267	0.11707	1.4469	0.5994	1.2097	0.088076	0.22114	0.95819	0.17297	0.040641	1.0686	0.143
"[0.79 .. 0.81]"	4.667	2.7451	5.0512	2.1165	3.552	3.5003	4.0244	3.535	4.1183	3.6273	3.5126	2.527	4.1953	2.348	2.7342	3.3464	2.5268	2.0672	3.1391	4.7176	3.0216	3.0711	3.4812	2.433	4.2128	2.5767	4.7532	2.1332	1.2517	2.2356	2.9626	3.3098	2.7749	3.5578	4.2381	4.0869	3.1165	4.6126	3.6658	1.9311	3.673	2.9094	3.255	0.92849	2.5681	3.4898	2.6115	1.5238	3.5539	2.319
"[0.81 .. 0.87]"	66.864	44.729	61.204	60.72	55.317	55.864	68.364	65.993	42.484	52.97	57.923	57.961	65.729	52.095	59.203	70.779	58.314	43.999	53.506	58.537	54.007	45.889	70.528	52.402	57.037	40.12	67.248	52.706	33.052	58.892	67.412	57.596	74.085	44.051	62.765	69.899	58.464	57.883	60.674	41.574	62.599	49.779	44.247	39.318	63.503	66.807	53.048	48.745	65.987	71.811
"[0.87 .. 0.91]"	13.019	8.1054	8.9875	21.966	8.9081	13.372	10.054	15.326	8.9653	8.6013	9.2569	10.993	7.9095	9.0232	13.696	15.387	23.526	14.152	9.2972	8.6924	10.413	8.0563	9.585	41.056	14.471	8.2405	11.239	26.202	5.4393	11.714	10.617	10.511	17.654	7.1438	25.266	9.2226	10.932	9.5308	12.17	8.9057	13.326	9.8335	7.8965	6.6892	33.555	23.904	12.956	8.2887	17.822	13.791
"[0.91 .. 0.97]"	16.746	13.395	19.281	16.987	17.415	16.59	17.546	14.547	18.52	16.6	18.77	14.962	16.902	12.047	13.475	17.537	14.632	13.385	13.833	17.401	18.464	14.533	12.997	14.496	13.831	15.978	17.213	15.821	7.1729	14.71	15.109	18.195	14.662	17.229	14.379	18.556	15.794	17.782	15.06	11.987	17.53	13.961	13.642	7.9975	12.993	15.211	16.793	16.627	15.273	15.983
"[0.97 .. 1.01]"	8.7709	6.745	10.924	8.462	9.452	7.3817	9.5734	8.1648	10.667	8.9169	9.6521	7.0898	7.2095	6.1736	5.9717	9.409	6.7713	5.7844	5.9798	9.3049	10.263	8.0693	6.2355	6.3401	5.87	7.9531	8.4508	5.8309	3.1678	4.8784	6.6892	8.2229	9.043	9.111	6.7376	9.1406	7.7741	9.9521	6.3552	6.3862	7.7831	7.5599	6.7707	2.9208	5.605	6.7495	8.0716	9.9508	6.383	7.4695
"[1.01 .. 1.05]"	6.706	4.9769	8.7624	5.6922	7.2357	5.7172	7.199	6.0492	8.3151	6.8078	7.0426	5.8253	5.5702	4.8426	3.9877	7.5135	4.9965	4.6601	4.3265	7.4946	8.117	6.1996	4.6441	4.7933	4.6131	5.6148	6.416	3.9189	2.4059	3.7325	4.7629	6.476	7.2697	7.2648	5.4306	6.8742	5.6754	7.512	4.7188	4.8952	5.753	6.3908	4.9598	2.4439	3.9656	5.2479	6.3239	7.7184	5.0524	5.1727
"[1.05 .. 1.08]"	1.1443	0.75486	1.1569	0.40267	0	0	0.83829	0.91124	1.0224	0.84121	0	0	0	0	0.48271	0	0.53995	0.020866	0.49075	0.36536	0.78527	0.59808	0.73854	0.18221	0.48102	0.83143	0.10415	0.6079	0.026614	0	0	0.82748	0	0	0.83813	0.42901	0	1.2872	0	0.16691	0.80638	0.051831	0.61826	0	0.20948	0.73602	0.014609	0.46506	0.18044	0.17738
"[1.08 .. 1.10]"	0.82221	0.31264	0.69934	0	0	0	0.42011	0.36181	0.54501	0.38032	0	0	0	0	0.11957	0	0.28264	0	0.19924	0.16863	0.3187	0.14377	0.42468	0	0.39224	0.29175	0.10399	0.24382	0	0	0	0.45661	0	0	0.63964	0.23963	0	0.83948	0	0	0.59504	0.068882	0.40727	0	0	0.37379	0	0	0.2126	0
"[1.10 .. 1.12]"	1.1102	0.49136	0.97949	0.00089247	0	0	0.67412	0.51778	0.83866	0.56915	0.17185	0	0.14484	0	0.18895	0	0.4809	0.088299	0.33008	0.54867	0.52349	0.37333	0.60637	0.12442	0.58645	0.54447	0.39718	0.32787	0	0	0	0.77191	0	0.30027	0.93892	0.45691	0	1.1796	0	0	0.95035	0.47952	0.5478	0	0.0098876	0.47341	0	0.042922	0.47821	0
"[1.12 .. 1.14]"	2.4703	1.1038	1.8463	0.052449	0	0.44538	1.3059	0.94181	1.5631	1.1174	0.69517	0.091559	0.71739	0.058358	0.46534	0.012729	0.77375	0.46019	0.75156	1.2825	0.93548	0.794	1.1751	0.33305	1.2397	0.94119	1.6157	0.74503	0.15661	0.035459	0.47609	1.4985	0.41962	0.90346	1.6411	1.3199	0.33428	2.0857	0.42265	0.16699	1.7364	0.97801	1.0549	10.042	0.25494	0.97751	0.37774	0.058899	1.1736	0.21293
"[1.14 .. 1.16]"	3.7128	1.971	3.333	1.532	1.4782	1.8847	2.5348	2.1499	2.7926	2.103	2.4998	1.8234	2.2612	1.4324	1.3643	1.9163	1.8169	1.7054	1.7533	2.9637	2.3037	2.3153	2.2621	1.3816	2.6499	2.336	2.9933	2.3654	1.2317	1.462	5.1571	3.0477	1.9407	3.1959	2.8412	2.461	2.1463	5.6939	2.0568	1.1777	3.3979	3.3538	2.3383	0.50126	1.7789	2.1965	1.7945	1.2219	3.1184	1.8545
"[1.16 .. 1.19]"	5.9894	3.3604	5.488	2.9653	3.7444	4.4329	5.3319	4.4663	4.6799	3.7337	4.2905	3.6808	4.4624	2.3428	2.5109	3.674	3.3159	2.7711	3.3172	4.7332	3.7381	3.7809	3.2024	2.4957	4.0984	6.0697	7.8139	5.4082	3.3468	4.673	10.629	5.2212	3.7259	6.6053	4.3059	4.0836	4.1233	6.6379	3.993	2.4344	28.71	33.174	3.622	1.4237	3.1838	3.4923	3.1208	2.4355	5.3306	4.0796
"[1.19 .. 1.21]"	16.63	5.3634	8.4951	7.3347	10.044	15.073	11.39	13.947	11.153	8.9632	6.984	8.6488	7.099	4.9916	5.9346	10.33	10.351	7.3996	10.947	8.4317	14.294	14.538	4.7827	6.9313	8.896	10.553	12.555	5.6644	3.1196	8.4687	12.579	14.675	6.6317	10.421	9.1712	6.849	12.25	12.99	10.157	5.4189	23.464	6.9934	5.6696	4.3826	14.579	7.9252	10.874	9.096	17.355	17.08
"[1.21 .. 1.23]"	12.19	9.4192	13.82	13.376	12.544	13.124	11.299	12.761	10.918	12.068	11.676	11.825	12.271	9.9841	10.352	14.215	11.104	8.4627	10.82	12.838	12.993	11.174	9.4678	12.625	13.997	8.295	15.039	10.802	6.6233	12.57	13.761	12.286	14.162	13.526	14.147	10.516	12.89	12.931	14.056	8.6175	11.591	10.925	10.229	5.2836	12.672	14.454	11.581	8.4543	14.227	10.853
"[1.23 .. 1.29]"	67.786	49.017	61.736	101.49	58.969	88.249	61.365	76.106	51.474	55.916	54.689	76.411	58.139	61.583	65.838	90.032	105.32	73.718	64.513	65.413	55.696	50.225	60.543	140.4	82.965	37.247	76.904	103.91	34.08	62.802	84.987	77.909	95.667	58.99	114.55	59.906	69.882	60.642	87.884	50.446	77.283	67.159	43.807	28.378	114.46	91.971	75.376	47.841	103.83	80.068
"[1.29 .. 1.34]"	106.82	87.808	76.173	134.02	98.729	126.4	68.981	101.23	132.4	58.289	79.856	122.12	102.85	96.042	117.2	95.156	174.88	256.96	118.37	113.3	79.716	116.14	68.228	189.75	112.17	113.18	114.03	189.15	67.597	169.79	94.275	110.52	93.432	119.73	122.18	82.634	111.9	98.07	106.94	144.35	87.55	145.26	103.85	74.119	139.9	94.772	133.37	114.84	106.69	125.79
"[1.34 .. 1.37]"	0.9578	2.1947	1.4757	6.0877	0.92144	0.032905	2.1766	4.4287	1.2859	2.6298	0.26269	0.49154	0.25011	2.4013	5.1289	3.574	4.0045	1.186	1.7291	0	1.7346	2.2483	1.9117	11.708	0.53113	2.4878	0	9.2471	1.6569	1.2372	1.6491	0.6154	2.1776	0	2.2756	0.66849	2.0953	0.96842	1.7561	2.7865	0.92962	0	0.19934	0.43598	8.3618	4.5274	2.133	3.845	0.45941	4.3753
"[1.37 .. 1.42]"	4.0058	5.1707	5.9256	5.546	3.7352	1.9217	5.1505	6.1324	4.9754	5.7495	4.2894	3.0703	4.4616	3.7034	5.9776	5.53	4.4429	2.7955	4.0055	3.9584	5.1548	5.0821	4.667	5.7317	2.7239	6.1776	2.7762	6.7097	3.2656	3.8273	3.7971	4.8259	3.3217	4.252	2.8165	4.2818	5.0749	4.7914	3.8035	4.0386	3.5898	2.5472	3.6706	2.0267	5.3636	5.9116	3.5501	6.4255	3.0043	5.2023
"[1.42 .. 1.48]"	17.872	18.829	18.66	19.797	16.649	13.995	18.513	17.044	20.074	15.572	18.187	14.357	21.273	12.695	18.388	18.666	11.578	14.483	12.845	20.291	12.348	18.817	14.545	17.135	10.954	22.587	16.069	15.234	10.327	15.133	12.851	14.61	17.912	22.201	12.731	18.081	19.37	18.109	12.931	13.565	11.81	14.534	17.705	6.8701	13.343	15.089	16.476	17.879	12.501	18.528
"[1.48 .. 1.52]"	2.5713	3.2048	4.2917	1.8732	2.8172	2.7369	3.7546	4.784	2.6367	3.7678	3.3392	2.7299	3.4298	1.9799	3.8075	4.3194	4.2524	2.6481	3.946	1.6294	3.8107	3.6636	2.7734	3.0086	2.6419	3.0646	1.6508	3.5716	2.0454	1.9476	1.7855	3.1438	2.3905	2.6604	2.7824	2.5658	2.6943	3.3814	2.4088	1.887	3.2624	2.8344	3.3541	1.6416	3.0101	3.7425	2.1047	5.0053	2.6066	3.1352
"[1.52 .. 1.54]"	0.15278	0.59698	0.61632	0.03445	0	0.32535	0.47291	1.0357	0.26964	0.77028	0	0	0.2445	0	0.91614	0.30778	1.0426	0.20583	0.92817	0	0.48865	0.39707	0.38298	1.4095	0.39534	0.36683	0	1.5393	0.33123	0	0	0.80083	0	0	0.76658	0.079012	0	0.41487	0.38591	0	0.63292	0	0.39098	0.27778	0.89641	0.95312	0	0.81017	0.39014	0.092642
"[1.54 .. 1.60]"	1.9872	2.0764	2.1436	2.9784	0	2.9538	2.0105	4.0879	1.7333	2.6182	0.26983	0.18547	0.70926	0.24511	3.9067	2.5261	7.1451	3.0582	3.0397	0.33902	1.8765	1.3837	1.6803	12.962	3.3864	1.4381	0.058542	7.7001	1.0306	0	0.067734	2.6313	2.0646	0.015451	6.9134	0.72102	0.049154	1.9981	2.4995	0.1211	3.1172	0.94699	1.306	1.7484	8.5649	5.6057	1.4138	2.0169	3.6429	0.96022
"[1.60 .. 1.62]"	0.58752	0.74154	0.98297	0	0.020909	0.29551	0.72147	0.99685	0.66395	0.92298	0.31116	0	0.46746	0	0.88868	0.36033	0.70556	0.064469	0.6734	0.27528	0.73904	0.72437	0.68384	0.73135	0.4481	0.7256	0	1.1526	0.42953	0	0	0.65988	0	0	0.49757	0.46092	0	0.82339	0.30194	0	0.65129	0.113	0.65052	0.44036	0.70892	0.88107	0	0.87781	0.23483	0
"[1.62 .. 1.67]"	2.1435	2.247	3.0192	0.084421	0.8824	1.6933	2.5012	2.7099	2.4611	2.6029	1.8031	0.092192	2.1934	0.22938	2.2002	1.3367	2.4299	0.87847	1.9758	1.5848	2.5495	2.2642	1.9478	1.7423	1.6715	2.3956	0.78307	2.3658	1.185	0	0.046282	2.1681	0.3906	0.04878	2.1068	1.9101	0.94175	2.7507	1.1563	0	2.4532	1.2906	2.3328	1.9924	1.6788	2.2747	0.70318	2.7925	1.6051	0
"[1.67 .. 1.69]"	1.2881	1.308	1.7742	0.021503	0.88916	1.2068	1.5058	1.4115	1.5405	1.5503	1.1231	0.1848	1.4097	0.40835	1.3113	0.8611	1.2957	0.92668	1.333	1.1273	1.4363	1.1929	1.1314	0.72197	1.0356	1.4233	0.88854	1.2756	0.75714	0.08117	0.58421	1.4921	0.29459	0.27278	1.0666	1.2986	0.70266	1.6784	0.81587	0.20946	1.3022	0.81359	1.237	0.92899	0.79197	1.3974	0.63754	1.4168	1.0253	0.054374
"[1.69 .. 1.75]"	7.3223	6.308	9.7343	4.0816	6.7051	8.0388	8.3213	6.9949	8.5898	6.9911	9.3084	7.5797	8.9694	5.1191	4.9964	7.3137	6.6617	5.9996	7.1162	7.3906	7.7958	7.9809	5.1296	4.2858	6.613	7.4255	6.7319	4.5347	3.4489	4.6897	4.438	7.4	5.3624	6.788	6.8155	7.3087	6.3022	8.8252	4.934	4.2568	7.4957	8.2191	7.2129	3.2126	3.6691	5.3509	5.8712	8.7556	7.6283	5.364
"[1.75 .. 1.77]"	0.15202	0.33161	0.3615	0	0	0	0.28225	0.40963	0.15706	0.4233	0	0	0	0	0.41975	0	0.21647	0	0.31411	0	0.28957	0.15816	0.18085	0	0	0.31665	0	0.36284	0.1563	0	0	0.30213	0	0	0.10691	0.0031924	0	0.32752	0	0	0.16631	0	0.22253	0.73093	0	0.2704	0	0.3665	0	0
"[1.77 .. 1.82]"	1.2307	1.392	1.6319	0.045519	0.019239	0.058761	1.2415	1.4252	1.4384	1.4651	0.65648	0.08088	0.72891	0.04479	1.0448	0	0.82497	0	1.0424	0.8005	1.1706	1.0107	0.97969	0.50225	0.74309	1.1293	0.39129	1.2403	0.73031	0	0.41592	1.4184	0	0	0.90071	0.82928	0	1.5376	0.07174	0.23704	1.0469	0.40487	0.95208	1.5559	0.090964	1.0195	0.29919	1.2835	0.29945	0.039546
"[1.82 .. 1.84]"	0.50434	0.45026	1.0071	0	0	0	0.56985	0.48841	0.54701	0.58497	0.51767	0	0.19179	0	0.36735	0	0.20522	0	0.42194	0.5306	0.801	0.37637	0.52397	0.062195	0.31067	0.352	0	0.44042	0.2992	0	0	0.73206	0.23373	0.036625	0.82091	0.36457	0.39088	0.71936	0	0.013316	0.40281	0	0.38504	0	0	0.35124	0	0.51237	0.45129	0
"[1.84 .. 1.90]"	10.214	8.2081	13.145	7.3075	7.9985	6.6195	9.7079	8.6145	10.812	8.3579	12.317	8.6623	9.2631	6.4499	4.3849	8.9168	5.5789	3.5848	5.5741	10.66	8.9777	10.71	7.6222	5.8297	7.0172	8.7806	9.7726	4.5882	4.8464	5.5585	6.1837	8.3642	9.5536	10.124	7.6542	9.314	10.555	12.104	6.0423	5.427	7.6829	10.044	8.8906	2.3884	5.183	6.5175	7.3747	10.421	7.931	6.9891
"[1.90 .. 1.92]"	1.7497	1.8381	1.5139	1.4509	1.5505	1.8597	2.4905	2.2996	2.3146	2.3163	1.0127	1.2295	1.5225	1.7258	2.3631	2.6469	2.0767	2.322	2.569	0.87949	1.1304	1.2653	1.0026	0.9159	1.5705	1.7686	1.558	2.0796	0.91343	1.2831	1.9802	1.3693	0.68205	0	0.87888	1.7997	0.78158	2.0065	2.0055	2.0562	1.0485	1.3013	1.344	1.7281	0.85756	1.5316	0.92172	1.1342	0.58293	2.3802
"[1.92 .. 1.94]"	1.2229	1.133	1.4942	0.71649	0.72461	0.88341	1.2628	1.2671	1.2145	1.3811	1.0122	0.72651	1.1664	0.58985	1.2039	0.75996	0.90565	0.86983	1.1473	0.97481	1.2495	0.97916	1.0295	0.77512	1.493	1.0563	1.0409	1.0787	0.7171	0.82656	0.87256	1.4304	0.72796	0	1.1937	1.0381	0.74005	1.3346	0.88893	0.65199	1.1854	0.62095	1.0572	0.92458	0.84427	1.4687	0.6778	0.92192	0.91016	0.72184
"[1.94 .. 1.96]"	2.3721	1.9398	2.723	1.9565	1.8134	1.952	2.2844	2.3937	2.2794	2.4737	2.1699	1.8823	2.2016	1.4625	1.8159	1.9764	1.8699	1.2521	1.7528	2.1577	2.4539	1.9835	1.8657	1.9816	2.3641	1.8615	2.4782	2.0811	1.2683	1.9484	2.1783	2.5534	2.0924	0.44372	2.3629	2.0451	1.9608	2.5143	2.039	1.2824	2.2843	1.6522	1.8227	4.1066	2.1101	2.7487	1.8457	1.6851	2.3289	1.5938
"[1.96 .. 1.98]"	4.675	4.045	5.4278	4.51	4.6108	5.0781	5.0228	5.0707	4.6508	5.2626	4.1775	4.8772	4.9102	3.7701	4.2253	5.1194	4.2339	3.4209	4.6425	4.9734	4.103	3.7864	4.2268	4.6805	4.7456	3.3541	5.9021	5.1253	2.5567	4.2042	5.4465	5.907	4.9263	3.0279	4.9446	4.6555	4.61	5.0571	5.4043	3.4288	5.0436	4.0405	3.6108	2.4047	4.6658	4.8742	4.2816	3.715	5.1875	4.5087
"[1.98 .. 2.02]"	13.976	10.22	12.91	18.491	11.638	15.184	12.399	14.775	10.204	11.679	10.873	13.161	11.699	11.297	13.25	15.832	18.419	12.413	12.001	12.832	10.319	9.4176	12.127	24.92	15.291	8.3596	15.203	19.388	6.6784	11.554	14.007	15.526	18.206	8.6069	20.815	12.034	13.543	11.985	15.279	9.6395	14.305	11.781	8.9391	5.821	21.479	18.849	13.565	9.0479	17.579	13.66
"[2.02 .. 2.06]"	17.757	16.182	20.484	22.324	18.164	17.566	17.495	17.68	17.326	17.778	17.376	16.921	20.589	13.672	16.232	21.853	17.532	13.872	15.821	19.124	17.304	14.787	15.244	24.836	20.564	18.049	20.249	22.932	10.925	17.377	19.611	23.461	21.017	17.346	20.743	16.895	20.92	17.074	20.932	13.553	18.563	14.831	15.168	8.2658	21.242	19.3	17.84	17.326	19.739	16.682
