""	"C-045"	"C-053"	"C-075"	"C-081"	"C-085"	"C-086"	"C-092"	"C-094"	"C-095"	"C-096"	"C-097"	"C-098"	"C-111"	"C-113"	"C-115"	"C-123"	"C-128"	"C-129"	"C-151"	"C-167"	"C-175"	"C-194"	"C-197"	"C-214"	"C-218"	"C-003"	"C-004"	"C-005"	"C-006"	"C-007"	"C-018"	"C-024"	"C-026"	"C-031"	"C-058"	"C-059"	"C-062"	"C-071"	"C-074"	"C-104"	"C-116"	"C-117"	"C-120"	"C-132"	"C-133"	"C-134"	"C-164"	"C-187"	"C-189"	"C-200"
"[3.45 .. 3.50]"	39.888	67.195	44.585	44.515	61.905	55.152	43.38	36.737	47.893	65.972	57.941	62.76	41.11	77.148	53.417	41.076	38.524	42.854	52.032	50.52	51.278	49.327	66.16	25.337	34.717	52.668	42.705	21.812	91.013	50.624	40.011	38.594	50.183	57.136	40.294	51.661	53.246	40.771	45.742	72.329	46.61	48.695	61.283	49.02	39.538	37.896	54.139	51.572	55.247	44.684
"[3.50 .. 3.55]"	25.466	33.058	25.71	25.419	31.769	25.952	27.339	22.131	26.674	31.469	29.425	29.691	26.005	34.515	28.542	26.736	20.86	19.422	24.762	25.708	25.208	29.508	29.422	17.463	24.313	28.898	25.908	19.867	39.26	25.585	28.063	21.887	27.036	30.731	21.61	28.102	28.316	26.21	27.709	34.054	21.94	27.119	31.274	24.04	20.807	23.011	28.409	27.646	22.895	25.087
"[3.55 .. 3.60]"	6.8528	6.8168	8.7228	5.6953	6.896	6.7746	7.8208	8.0391	7.4366	6.8583	7.3984	6.4862	9.0503	5.7082	7.3091	8.0751	5.4231	6.5105	7.0307	7.8025	8.2243	7.511	5.6499	5.3526	7.3335	7.9304	6.5183	7.2687	7.2177	7.091	10.25	9.2532	7.1985	7.1938	6.5035	7.7855	6.8687	7.4731	8.4652	6.3272	8.0331	6.5593	7.2659	6.1914	5.45	6.2453	7.0458	8.9474	6.586	7.5768
"[3.60 .. 3.63]"	3.0218	3.3517	3.5747	2.5965	3.004	3.0159	4.3339	3.1944	4.0796	3.199	4.7568	2.8092	4.9362	2.2782	3.2591	3.2408	2.3619	2.9698	3.7107	3.405	4.1286	3.7845	2.655	2.231	6.7442	3.6139	3.1822	4.6883	4.0148	3.7097	4.5576	4.0931	3.0982	3.1555	3.3876	3.8349	3.2968	3.2003	3.7789	3.234	3.1516	2.7474	4.5383	2.8153	2.5594	3.5808	2.9715	4.0319	2.4727	3.0024
"[3.63 .. 3.68]"	15.572	14.162	18.461	12.853	15.519	14.908	18.981	14.978	17.075	15.976	19.935	14.93	21.392	11.484	12.573	15.927	11.152	11.994	16.859	17.929	18.795	15.658	13.096	10.094	24.01	16.329	18.804	19.247	15.14	19.977	23.924	20.076	17.424	18.617	16.581	18.405	17.987	15.939	17.372	14.142	30.669	32.386	16.927	12.429	12.06	14.964	15.101	16.668	17.766	17.192
"[3.68 .. 3.74]"	52.675	72.01	55.328	55.571	70.591	60.2	55.266	46.65	59.349	72.025	67.884	69.549	53.509	78.836	54.888	55.53	44.009	46.453	56.425	58.601	58.029	60.984	68.904	33.606	48.874	60.5	56.127	32.481	88.142	55.758	58.485	48.079	58.652	68.533	44.392	60.404	60.434	53.994	56.974	75.326	50.873	59.843	68.421	48.818	46.207	47.012	63.23	59.064	58.715	54.377
"[3.74 .. 3.79]"	21.999	30.697	23.818	24.17	27.997	25.126	23.934	20.393	23.979	28.205	27.923	28.362	25.539	31.356	28.518	22.864	18.373	23.954	26.849	25.339	25.775	25.713	29.014	15.703	22.967	28.748	22.128	18.019	39.287	25.653	23.786	21.569	25.896	29.566	20.136	25.444	26.924	21.757	22.816	31.392	23.052	23.339	29.763	22.348	19.898	20.022	26.887	27.587	25.034	24.232
"[3.79 .. 3.81]"	3.2482	4.039	3.488	2.8744	4.2731	3.8242	4.4532	3.9279	3.8345	4.0214	3.2338	3.1551	4.4695	3.653	2.9343	4.202	3.0894	2.1152	3.0423	3.0899	3.1647	3.2277	2.7399	2.3537	4.6652	4.42	3.586	3.3259	3.5806	4.1767	5.2676	3.9798	2.579	3.2776	2.8379	4.153	3.093	3.3132	4.632	3.6182	3.0292	2.882	3.4449	2.808	2.4201	3.5499	2.7669	3.3499	2.8612	3.3516
"[3.81 .. 3.86]"	30.249	48.639	32.993	34.816	45.327	39.295	35.126	28.752	36.473	47.392	42.702	43.596	33.53	52.5	41.237	33.745	29.079	31.362	42.082	35.847	39.415	35.728	45.584	19.73	34.618	40.02	32.684	23.367	65.347	39.443	32.893	30.728	36.239	41.537	28.684	38.723	36.619	30.441	36.095	53.258	33.049	35.573	45.818	37.728	28.964	30.13	40.428	39.052	38.244	35.079
"[3.86 .. 3.92]"	30.684	46.827	37.262	34.945	44.337	36.887	35.152	30.618	35.433	44.47	43.278	42.818	35.484	48.334	38.753	35.439	28.49	29.133	37.357	39.706	40.352	37.401	44.553	21.608	32.388	39.461	34.385	19.958	60.063	37.083	33.798	36.806	38.68	43.61	32.116	37.426	41.196	31.624	37.804	47.475	35.675	35.965	44.315	36.86	29.135	30.128	39.598	41.328	39.509	32.497
